Id,SalePrice
2658,142321.50223609208
2718,174048.8193242745
2414,223683.59187317992
1989,119394.47664468402
625,175819.9586986934
333,78962.09301473673
1327,97388.00384623324
858,154842.84609054908
95,197123.70218308305
1568,165236.80586537096
2482,162011.78376411152
1364,118861.92936487844
2584,150025.9411543386
818,255382.50112343382
2673,169782.6120704551
2089,118935.30996954454
1297,155187.5201531748
790,115079.26698967167
2616,189625.15180200717
720,210093.2494472731
222,142336.2717291474
557,124846.23952247496
1148,194644.40903211106
2766,190677.45003480648
534,196736.34559650198
1452,124296.87852715094
630,135054.9169839614
2648,147187.96180553
125,166726.16039331717
1904,24396.196869540203
1670,98437.25822524924
756,95758.21480849935
717,260481.6808748428
1032,169607.36096621933
852,216985.0796409794
1731,174046.1532098485
2639,116713.02893570904
2071,57403.07451115883
1267,133000.62674969612
1851,208700.08347863087
567,171960.715713674
2439,216921.11392232194
1898,158223.82571729517
647,175030.5794760037
2256,232645.0627536854
979,94730.61660338171
1444,227474.7521990009
2485,121636.4194254879
157,109376.1534099577
88,117112.35082160677
2003,108107.20967508368
186,213175.87067598867
1425,250770.3571718532
2695,124770.5076372193
738,106631.14429810512
395,155489.2462207677
1353,166617.9324925001
1878,154894.0604365644
390,168068.19867858043
1456,241943.2507036487
1103,333857.9409284827
1387,150463.99961518226
2070,145556.09259270667
1199,179212.0003769852
2479,182514.26714807432
501,311927.1300656201
2362,90340.88430215413
1718,216669.43183524557
2188,81649.08477076938
1483,169851.46020349284
2557,74818.51509313642
437,344481.8552088422
2224,212495.39326875837
1628,177967.214734395
397,123291.65409143327
587,211942.0855446565
2182,596605.5739657052
971,150300.5997056933
2611,148964.9048307447
1887,77750.71109204255
2399,374755.9053844778
2148,206607.92972497136
304,124394.62595785582
1997,140855.08289798402
2817,112003.94659973109
1431,204075.64467347148
427,325965.3349638572
263,126150.67603836328
598,203124.82363736728
2895,260140.76009801164
687,152052.3287712001
1822,132367.21750096598
2191,107349.83263526777
179,114034.7045739539
1009,213934.88087019775
2010,110888.23816977169
1991,151266.11044348998
1411,182780.51689919425
1721,220737.63007860002
1144,194130.33056813348
593,223040.0806980785
575,330863.55532648484
1249,182279.67644477537
1604,113976.2213220083
1064,454283.12049826974
1923,161423.07838804115
1988,98594.88394464411
2325,168361.93160286173
114,208671.77393035218
2700,183761.90249270064
217,133841.80473572717
343,198452.24225919254
386,235226.97887483676
2005,105030.05873340089
2908,134493.86412554508
1814,260898.45035583508
2446,495108.0482148651
208,148928.78152928158
1679,102301.29357936868
822,337554.9243450342
6,184493.34889068684
1781,407948.40881177376
2397,301373.34930140246
2340,297054.0046652361
1618,163797.21980770622
2843,159037.04583130774
1061,359403.92783589265
2786,121165.0808108322
1935,132280.04974099837
1341,111428.62195365354
521,267189.02116106084
2136,132022.3886312908
996,199354.662613743
227,134479.69572751867
135,184719.5710216022
1167,163332.03017531295
294,234168.42357487304
1776,204655.0899995516
540,193347.36213882244
1717,212541.03382911024
2303,112733.86574613878
116,202912.42687834537
127,133711.8704067852
1371,132863.33140116054
1014,191908.00299601632
1507,86658.07440688241
702,151225.21197569798
750,149149.86447211448
261,142093.03867083887
1559,61982.2433419587
